link;model;waist;weight;hips;bust;height;attractive
http://www.maxmodels.pl/modelka-natchnieniebuki.html;Natchnieniebuki;68;53;85;87;160;0
http://www.maxmodels.pl/modelka-amelson.html;Amelson;66;45;80;88;160;0
http://www.maxmodels.pl/modelka-nataliakoszeluk.html;nataliakoszeluk;63;47;83;88;160;0
http://www.maxmodels.pl/modelka-berenika_nienadowska.html;berenika_nienadowska;61;50;88;88;160;1
http://www.maxmodels.pl/modelka-xbetinka.html;xBetinka;61;46;89;88;160;1
http://www.maxmodels.pl/modelka-kometa_mote.html;Kometa_mote;70;50;90;88;160;1
http://www.maxmodels.pl/modelka-laila_.html;Laila_;72;58;92;88;160;1
http://www.maxmodels.pl/modelka-misia_m.html;misia_m;60;53;94;90;160;1
http://www.maxmodels.pl/modelka-amitiel89.html;Amitiel89;70;65;105;95;160;0
http://www.maxmodels.pl/modelka-dominikak1.html;dominikak1;60;45;82;80;161;1
http://www.maxmodels.pl/modelka-jagodziana22.html;Jagodziana22;63;51;84;80;161;1
http://www.maxmodels.pl/modelka-masza_.html;Masza_;68;49;82;88;161;1
http://www.maxmodels.pl/modelka-yanettaa.html;yanettaa;70;56;88;90;161;0
http://www.maxmodels.pl/modelka-swagbitchmeow.html;SwagBitchMeow;77;60;90;90;161;0
http://www.maxmodels.pl/modelka-olgalaura.html;olgalaura;63;45;83;75;162;1
http://www.maxmodels.pl/modelka-thebugs.html;thebugs;64;47;84;75;162;1
http://www.maxmodels.pl/modelka-hopess.html;hopess;65;51;84;80;162;0
http://www.maxmodels.pl/modelka-caira.html;caira;60;48;86;82;162;0
http://www.maxmodels.pl/modelka-angie18.html;angie18;62;43;87;82;162;0
http://www.maxmodels.pl/modelka-stelmach.html;stelmach;65;48;80;83;162;1
http://www.maxmodels.pl/modelka-anagel899.html;ANAGEL899;82;54;92;85;162;1
http://www.maxmodels.pl/modelka-heylis_w.html;Heylis_W;61;50;90;89;162;1
http://www.maxmodels.pl/modelka-paula__27.html;Paula__27;73;50;90;90;162;0
http://www.maxmodels.pl/modelka-maszunia.html;maszunia;64;50;92;90;162;0
http://www.maxmodels.pl/modelka-rina20.html;rina20;84;65;104;102;162;0
http://www.maxmodels.pl/modelka-martysiaxd.html;MarTysiaxD;65;48;92;81;163;0
http://www.maxmodels.pl/modelka-mika4117911.html;mika4117911;62;48;80;84;163;0
http://www.maxmodels.pl/modelka-klaudia017.html;klaudia017;57;44;86;84;163;1
http://www.maxmodels.pl/modelka-ggiirraaffee.html;ggiirraaffee;70;50;80;85;163;1
http://www.maxmodels.pl/modelka-malina696.html;malina696;64;50;90;85;163;0
http://www.maxmodels.pl/modelka-mercedes95.html;Mercedes95;68;52;92;87;163;1
